hypothesis,variant_id,exit,n_signals,setting,n,days,mean,median,win,ci_lo,ci_hi,mean_no_top3,sol_weighted,via_pool_share
H02,"H02|W=60;U=15|XT300",XT300,20243,NOINS,19728,21,-0.14069181741645248,-0.19346773149968222,0.1907441200324412,-0.1520954011439969,-0.12908666772083738,-0.1419934059313513,-0.14172081738954537,0.02037712895377129
H02,"H02|W=60;U=15|XT300",XT300,20243,L10,18638,21,-0.1268105229107882,-0.13464627543508845,0.18108166112243804,-0.13827206466922,-0.11499964637433199,-0.12832818820493985,-0.13031801550730807,0.01829595450155596
H02,"H02|W=60;U=15|XT1800",XT1800,20243,KILL,20048,21,-0.23795038916664626,-0.3967031938709517,0.09417398244213887,-0.25176367235552954,-0.22252356597427045,-0.23967281611811234,-0.2379473109453223,0.04693735035913807
H02,"H02|W=60;U=15|XT1800",XT1800,20243,PRIMARY,19728,21,-0.227440579494881,-0.3779188063400387,0.09382603406326034,-0.24207331966602583,-0.21165552920015138,-0.229287634375196,-0.22924642536008347,0.045721816707218164
H02,"H02|W=60;U=15|XT1800",XT1800,20243,NOINS,19728,21,-0.22942466157191452,-0.37953716256395603,0.0933698296836983,-0.24398464824542623,-0.2136931311719902,-0.23127201819616827,-0.23122861977088108,0.045721816707218164
H02,"H02|W=60;U=15|XT1800",XT1800,20243,L10,18638,21,-0.2097495998760434,-0.3242038440343442,0.0900311192188003,-0.225655332451198,-0.1924799913245893,-0.21161338202901522,-0.2150100683873023,0.041528060950745786
H02,"H02|W=60;U=15|XB",XB,20243,KILL,20048,21,-0.07135903163529021,-0.272930067934126,0.2254588986432562,-0.07683506851626033,-0.06565167258629895,-0.07166014655715915,-0.07135932714045573,0.007282521947326416
H02,"H02|W=60;U=15|XB",XB,20243,PRIMARY,19728,21,-0.09426895891251307,-0.19661727143110755,0.225669099756691,-0.10325624874318678,-0.08508561480914577,-0.09483312528635668,-0.09476004010456274,0.00836374695863747
H02,"H02|W=60;U=15|XB",XB,20243,NOINS,19728,21,-0.09714146889113283,-0.19944353738703158,0.22384428223844283,-0.10607135372594453,-0.08803275877442714,-0.09770417598349275,-0.09762884573305339,0.008211678832116789
H02,"H02|W=60;U=15|XB",XB,20243,L10,18638,21,-0.09261865350190739,-0.1259812497108284,0.21134241871445433,-0.10271375507896671,-0.0821050327476904,-0.09325702829276131,-0.09439543571519604,0.008745573559394785
H02,"H02|W=60;U=15|XR",XR,20243,KILL,20048,21,-0.06502709001215322,-0.15551749664195813,0.18480646448523544,-0.07452850282832654,-0.05522066170009282,-0.06637305906204322,-0.06502631486793703,0.022795291300877894
H02,"H02|W=60;U=15|XR",XR,20243,PRIMARY,19728,21,-0.14156062958587703,-0.20058219223474372,0.14715125709651258,-0.1534179430334874,-0.12985881674606808,-0.1429034875138108,-0.14218256631113493,0.02265815085158151
H02,"H02|W=60;U=15|XR",XR,20243,NOINS,19728,21,-0.14375089993954274,-0.20325337854532288,0.14593471208434713,-0.15560337133600902,-0.13210226992685895,-0.14509409097932638,-0.1443754996547713,0.02265815085158151
H02,"H02|W=60;U=15|XR",XR,20243,L10,18638,21,-0.1385462895430365,-0.15984694763254323,0.14062667668204742,-0.14959588657070616,-0.12738763081958565,-0.1400474764944363,-0.14232831466713228,0.020978645777443933
H02,"H02|W=60;U=15|XG",XG,20243,KILL,20048,21,-0.1412321711552617,-0.3044885080344262,0.058160415003990426,-0.15003464739623518,-0.13150723141934642,-0.14286255435818684,-0.14123091278748545,0.009078212290502794
H02,"H02|W=60;U=15|XG",XG,20243,PRIMARY,19728,21,-0.18871718726738315,-0.30394612763053586,0.06082725060827251,-0.2001072039782304,-0.17582104350771677,-0.19046238147972572,-0.1897116920436586,0.01485198702351987
H02,"H02|W=60;U=15|XG",XG,20243,NOINS,19728,21,-0.19071292800387066,-0.3042092507866313,0.06032035685320357,-0.20198841597845474,-0.17781626004255485,-0.19245842544638017,-0.19168368119787585,0.01444647201946472
H02,"H02|W=60;U=15|XG",XG,20243,L10,18638,21,-0.18011555423770348,-0.2615663297827724,0.06406266766820475,-0.19045824626972852,-0.1685356134291212,-0.18195536154345981,-0.1849386282231935,0.01936903101191115
H02,"H02|W=60;U=30|XT60",XT60,15680,KILL,15531,21,-0.07779878890963743,-0.05959310482065569,0.3320455862468611,-0.08427942455076078,-0.07087709894090796,-0.07874936335210868,-0.07780012276793313,0.007597707810186079
H02,"H02|W=60;U=30|XT60",XT60,15680,PRIMARY,15243,21,-0.06952310559163734,-0.049902311384959396,0.3376631896608279,-0.0766137923029917,-0.06199526059422795,-0.0702163998894825,-0.06980063463125277,0.007085219444991143
H02,"H02|W=60;U=30|XT60",XT60,15680,NOINS,15243,21,-0.07226427256560296,-0.05405540123643424,0.3342517877058322,-0.07935987355507941,-0.06471556680464378,-0.07295695241998199,-0.07255063250664996,0.007019615561241225
H02,"H02|W=60;U=30|XT60",XT60,15680,L10,14291,21,-0.06679993084279429,-0.04521639864467485,0.31271429571058706,-0.0744668386071652,-0.0583117049352329,-0.06771819430407189,-0.06744122691219669,0.006787488629207194
H02,"H02|W=60;U=30|XT300",XT300,15680,KILL,15531,21,-0.15013819381414176,-0.26748587632456094,0.21028909922091302,-0.16275692237523307,-0.13666101660838695,-0.15179212422413632,-0.15013659229361734,0.0267207520442985
H02,"H02|W=60;U=30|XT300",XT300,15680,PRIMARY,15243,21,-0.14144189304829022,-0.24816354397855442,0.2111132979072361,-0.1552523219604437,-0.12687401809979595,-0.14312668505877874,-0.14278499688250673,0.025979137964967525
H02,"H02|W=60;U=30|XT300",XT300,15680,NOINS,15243,21,-0.14324679581176417,-0.2500214059440762,0.21058846683723675,-0.1570546760149335,-0.1287385352645176,-0.1449319335014966,-0.1445873574320525,0.025979137964967525
H02,"H02|W=60;U=30|XT300",XT300,15680,L10,14291,21,-0.12986606145273952,-0.18790308958792173,0.2006157721642992,-0.1432862416855138,-0.11595479742541592,-0.1318461048018558,-0.13397560315424736,0.023581274928276538
H02,"H02|W=60;U=30|XT1800",XT1800,15680,KILL,15531,21,-0.25288354582602196,-0.44649325904183873,0.10714055759448844,-0.2691735726478679,-0.23471490876306347,-0.2550020908010964,-0.2528804632381942,0.0582061683085442
H02,"H02|W=60;U=30|XT1800",XT1800,15680,PRIMARY,15243,21,-0.24288185605367196,-0.4298535875950877,0.10647510332611691,-0.26111136484337105,-0.22374522233825272,-0.24516523602106324,-0.2451357225780761,0.05681296332742898
