hypothesis,variant_id,exit,n_signals,setting,n,days,mean,median,win,ci_lo,ci_hi,mean_no_top3,sol_weighted,via_pool_share
H06,"H06|k=2;D=600|XT300",XT300,5019,NOINS,4385,18,-0.2081097289769761,-0.30467003347722643,0.14549600912200683,-0.2216620919443317,-0.19685568444984092,-0.2144158133917461,-0.20969841299861577,0.01185860889395667
H06,"H06|k=2;D=600|XT300",XT300,5019,L10,4086,18,-0.18992241507368204,-0.24893494873158872,0.12750856583455702,-0.2044957580902433,-0.17194646947656414,-0.19508017552827997,-0.19482060282358082,0.008076358296622614
H06,"H06|k=2;D=600|XT1800",XT1800,5019,KILL,4969,18,-0.269672287862807,-0.38198593104820655,0.0646005232441135,-0.2907833581316886,-0.2539033083744086,-0.2770329844919806,-0.26967789374238155,0.025558462467297243
H06,"H06|k=2;D=600|XT1800",XT1800,5019,PRIMARY,4385,18,-0.2818322437159293,-0.36950712086422677,0.059293044469783354,-0.3043866416603236,-0.2655908909586482,-0.2903241217537976,-0.28462923146704583,0.01984036488027366
H06,"H06|k=2;D=600|XT1800",XT1800,5019,NOINS,4385,18,-0.28349591229156434,-0.3708913232349069,0.05815279361459521,-0.30603098469577866,-0.26732445459990406,-0.2919889292922497,-0.28628410178668,0.01984036488027366
H06,"H06|k=2;D=600|XT1800",XT1800,5019,L10,4086,18,-0.2578656001722236,-0.3171807186202599,0.053108174253548704,-0.275293715557211,-0.24106958524282177,-0.265610339266491,-0.265756447349461,0.0149290259422418
H06,"H06|k=2;D=600|XB",XB,5019,KILL,4969,18,-0.05145469905994151,-0.30022371026317096,0.2813443348762326,-0.06468193161739266,-0.03221387387709293,-0.054348360135876315,-0.05145754613230045,0
H06,"H06|k=2;D=600|XB",XB,5019,PRIMARY,4385,18,-0.0999875668259891,-0.2685636280175077,0.22873432155074117,-0.11032111181288762,-0.08460618319146072,-0.10355758432791684,-0.09964705306968218,0.0011402508551881414
H06,"H06|k=2;D=600|XB",XB,5019,NOINS,4385,18,-0.10261138987562039,-0.2716893189015503,0.22622576966932725,-0.11314683640012524,-0.08726776377645173,-0.10617541040407595,-0.10221038507034676,0.0011402508551881414
H06,"H06|k=2;D=600|XB",XB,5019,L10,4086,18,-0.11905505029216945,-0.22760555442946848,0.18208516886930984,-0.12941082829995193,-0.10420262641480463,-0.12367591084415067,-0.1210601705087423,0.0017131669114047968
H06,"H06|k=2;D=600|XR",XR,5019,KILL,4969,18,-0.06711308036674182,-0.19057396784438269,0.22439122559871202,-0.08067901183760781,-0.05004188900502583,-0.07435140937157136,-0.0671214900812769,0.011269873213926343
H06,"H06|k=2;D=600|XR",XR,5019,PRIMARY,4385,18,-0.15159885461082587,-0.2438600821884436,0.1443557582668187,-0.17108993890649252,-0.1388873889492005,-0.16000157240969065,-0.1524615715756359,0.008665906499429875
H06,"H06|k=2;D=600|XR",XR,5019,NOINS,4385,18,-0.15398935432996996,-0.24606888049063513,0.14161915621436716,-0.17343961466216182,-0.1413246506817178,-0.1623937086939859,-0.1548577813918275,0.008665906499429875
H06,"H06|k=2;D=600|XR",XR,5019,L10,4086,18,-0.16493063786834103,-0.22467345692003513,0.11845325501713166,-0.18087396177030546,-0.15074655543046317,-0.17245600801845362,-0.17021766033179744,0.007342143906020558
H06,"H06|k=2;D=600|XG",XG,5019,KILL,4969,18,-0.17951870583187554,-0.30499110492015324,0.046689474743409135,-0.19406884493466858,-0.16687446970081887,-0.1865236969589215,-0.17952726230686636,0.002414972831555645
H06,"H06|k=2;D=600|XG",XG,5019,PRIMARY,4385,18,-0.2172057208636763,-0.30476242822819327,0.04378563283922463,-0.2326455035854358,-0.2037927064415838,-0.22531739523419275,-0.21861568743151108,0.0063854047890535915
H06,"H06|k=2;D=600|XG",XG,5019,NOINS,4385,18,-0.2185256035078555,-0.3053705242064961,0.04378563283922463,-0.23372785332011714,-0.20518979445258004,-0.2266323791139868,-0.2199107191855992,0.006157354618015963
H06,"H06|k=2;D=600|XG",XG,5019,L10,4086,18,-0.2093820388047166,-0.2773275155377217,0.04503181595692609,-0.22423831463631821,-0.19274725250326508,-0.2170043752565883,-0.21489664097953343,0.007342143906020558
H06,"H06|k=3;D=60|XT60",XT60,1790,KILL,1768,18,-0.0846089855210732,-0.17120470623352074,0.3026018099547511,-0.09896823955772428,-0.06577130686585048,-0.09162146116084548,-0.08460784483456835,0.011312217194570135
H06,"H06|k=3;D=60|XT60",XT60,1790,PRIMARY,1561,17,-0.10560884319683518,-0.17140300661308114,0.29212043561819345,-0.12469314436310898,-0.08875248917494762,-0.11472847437312682,-0.10612311258437497,0.007046764894298526
H06,"H06|k=3;D=60|XT60",XT60,1790,NOINS,1561,17,-0.10794851991627544,-0.17380174250481434,0.2908392056374119,-0.12698406132505763,-0.0912083788468678,-0.11707194343926888,-0.10847629158859397,0.007046764894298526
H06,"H06|k=3;D=60|XT60",XT60,1790,L10,1454,17,-0.12201259483924934,-0.15765530814284437,0.2310866574965612,-0.13722743865422335,-0.10316502656589081,-0.13202935287722975,-0.12358801680233565,0.005502063273727648
H06,"H06|k=3;D=60|XT300",XT300,1790,KILL,1768,18,-0.21948133543536033,-0.3555405601711358,0.1414027149321267,-0.24443201240859325,-0.1925342931135785,-0.2304676436883363,-0.2194852100542134,0.022058823529411766
H06,"H06|k=3;D=60|XT300",XT300,1790,PRIMARY,1561,17,-0.23907146418463587,-0.351588541091259,0.1268417680973735,-0.2639993652163286,-0.21980820190733896,-0.25044383265935555,-0.2418101432072387,0.016655989750160152
H06,"H06|k=3;D=60|XT300",XT300,1790,NOINS,1561,17,-0.24057810688604822,-0.352999125379244,0.1268417680973735,-0.2655652636201611,-0.221297488817241,-0.2519533764201718,-0.24331329944180036,0.016655989750160152
H06,"H06|k=3;D=60|XT300",XT300,1790,L10,1454,17,-0.22209457986951317,-0.30540354176115336,0.11416781292984869,-0.24750291080625458,-0.191978560748099,-0.23648684535197906,-0.2279241960138208,0.011004126547455296
H06,"H06|k=3;D=60|XT1800",XT1800,1790,KILL,1768,18,-0.3056653926820659,-0.43233723197850854,0.06108597285067873,-0.33955423957548386,-0.2653368533193047,-0.31679818941761484,-0.3056662310028779,0.032805429864253395
H06,"H06|k=3;D=60|XT1800",XT1800,1790,PRIMARY,1561,17,-0.3212913394175326,-0.41468092765684,0.053171044202434334,-0.34873576475104784,-0.29647528937201334,-0.33305615439370684,-0.3251943196479407,0.024983984625240232
H06,"H06|k=3;D=60|XT1800",XT1800,1790,NOINS,1561,17,-0.32256819504376805,-0.41547763659523584,0.053171044202434334,-0.35008785282909266,-0.2977707561166472,-0.3343354685790682,-0.32646438007510764,0.024983984625240232
H06,"H06|k=3;D=60|XT1800",XT1800,1790,L10,1454,17,-0.3017606161204188,-0.382205648829283,0.04332874828060523,-0.33308296203879706,-0.2700305943564515,-0.31648790654251835,-0.31138090365421095,0.01925722145804677
H06,"H06|k=3;D=60|XB",XB,1790,KILL,1768,18,-0.08023685091139418,-0.30297186209641314,0.26074660633484165,-0.09738042841345505,-0.05653309855203122,-0.08183794526121889,-0.08023585388786945,0
H06,"H06|k=3;D=60|XB",XB,1790,PRIMARY,1561,17,-0.1263413970572725,-0.29911636167538647,0.2158872517616912,-0.14972239844243157,-0.10995211906039563,-0.12963930690079867,-0.12686197581096206,0.0006406149903907751
H06,"H06|k=3;D=60|XB",XB,1790,NOINS,1561,17,-0.13017569087129102,-0.30035960055305094,0.21204356181934658,-0.15231756971157945,-0.11378284947641007,-0.13346666538898655,-0.13071628850862663,0.0006406149903907751
H06,"H06|k=3;D=60|XB",XB,1790,L10,1454,17,-0.13816150837568122,-0.2647571041585757,0.1829436038514443,-0.14963331395382345,-0.1179200215465397,-0.1424636384507445,-0.1420497110666446,0.0020632737276478678
H06,"H06|k=3;D=60|XR",XR,1790,KILL,1768,18,-0.09030347395149711,-0.22071505397741406,0.1996606334841629,-0.10969238119277819,-0.062050695968006116,-0.10013159415381549,-0.09029950529689795,0.015271493212669683
H06,"H06|k=3;D=60|XR",XR,1790,PRIMARY,1561,17,-0.17363030882883304,-0.2674445436790815,0.13452914798206278,-0.20782079014727267,-0.1535540134397723,-0.18313053975939092,-0.17459725582480648,0.012812299807815503
H06,"H06|k=3;D=60|XR",XR,1790,NOINS,1561,17,-0.17565943552336483,-0.27019619707848275,0.1313260730301089,-0.21004848375592577,-0.15563436303497702,-0.18516357357855143,-0.17665067541411014,0.012812299807815503
H06,"H06|k=3;D=60|XR",XR,1790,L10,1454,17,-0.18792044125590696,-0.26065753231260536,0.11485557083906466,-0.21325463382316837,-0.1611896130509577,-0.20214552361284707,-0.19368496659443424,0.01031636863823934
H06,"H06|k=3;D=60|XG",XG,1790,KILL,1768,18,-0.19403906886956057,-0.30738372220287546,0.04355203619909502,-0.21386271843457844,-0.1687399600148035,-0.20554388102342538,-0.19403727494432554,0.003393665158371041
H06,"H06|k=3;D=60|XG",XG,1790,PRIMARY,1561,17,-0.23876039566020973,-0.3124924479472446,0.03459320948110186,-0.27257798368875674,-0.21306646219675113,-0.25003624412742453,-0.24032631812396255,0.0064061499039077515
H06,"H06|k=3;D=60|XG",XG,1790,NOINS,1561,17,-0.23960162137322533,-0.31260806343587255,0.033952594490711085,-0.27368695475467836,-0.2135920265138026,-0.2508782905103598,-0.24112515984023983,0.0064061499039077515
H06,"H06|k=3;D=60|XG",XG,1790,L10,1454,17,-0.23297156386893458,-0.3008041015888445,0.0405777166437414,-0.2576931514331287,-0.20066839308979076,-0.2458514086749603,-0.23911127457084075,0.008253094910591471
H06,"H06|k=3;D=600|XT60",XT60,2305,KILL,2276,18,-0.07384685712324296,-0.14111287000646733,0.3132688927943761,-0.08619283777827788,-0.05436357442884735,-0.07927788797190322,-0.07384678001659536,0.009666080843585237
H06,"H06|k=3;D=600|XT60",XT60,2305,PRIMARY,2056,18,-0.09629344261537874,-0.1425370301565394,0.29815175097276264,-0.11224736096145432,-0.07877427933276127,-0.10320062194850974,-0.09662980949098393,0.00632295719844358
H06,"H06|k=3;D=600|XT60",XT60,2305,NOINS,2056,18,-0.09888229853917513,-0.14549153355471633,0.29377431906614787,-0.11473196376474935,-0.08148309670232722,-0.10579271996376961,-0.09923401038485807,0.00632295719844358
H06,"H06|k=3;D=600|XT60",XT60,2305,L10,1908,18,-0.1101747304724918,-0.12859213046554738,0.24528301886792453,-0.1246221249363023,-0.0906185788254653,-0.11809891017906764,-0.11065124008787097,0.0047169811320754715
H06,"H06|k=3;D=600|XT300",XT300,2305,KILL,2276,18,-0.20146319300640336,-0.33054695786279287,0.15992970123022848,-0.22538565747394476,-0.1750580704361623,-0.20997035518819593,-0.20146857907284063,0.01977152899824253
H06,"H06|k=3;D=600|XT300",XT300,2305,PRIMARY,2056,18,-0.2194871084170829,-0.32889687159941183,0.1512645914396887,-0.2446309368763126,-0.19968388146190297,-0.22843511316636728,-0.22163863244566995,0.01556420233463035
H06,"H06|k=3;D=600|XT300",XT300,2305,NOINS,2056,18,-0.22117100403935935,-0.330902662729067,0.1502918287937743,-0.246385578860185,-0.20137599111645094,-0.23012146938746814,-0.22332173961413118,0.01556420233463035
H06,"H06|k=3;D=600|XT300",XT300,2305,L10,1908,18,-0.20381524317245198,-0.28575209914569244,0.13679245283018868,-0.22687261498996836,-0.17730617240463548,-0.21495804680969693,-0.2068043815766819,0.0110062893081761
H06,"H06|k=3;D=600|XT1800",XT1800,2305,KILL,2276,18,-0.29336126615153435,-0.42217970747724,0.0641476274165202,-0.324866193346418,-0.26110899543735056,-0.30260631937259935,-0.293359117124059,0.03251318101933216
H06,"H06|k=3;D=600|XT1800",XT1800,2305,PRIMARY,2056,18,-0.3084148432566446,-0.4110791638211614,0.058365758754863814,-0.3363522122690585,-0.2889767362836536,-0.3186085040474005,-0.31176973119804013,0.026264591439688716
H06,"H06|k=3;D=600|XT1800",XT1800,2305,NOINS,2056,18,-0.3097753093280243,-0.4119918470471681,0.058365758754863814,-0.3377660268029296,-0.2902856453409135,-0.31997095805703846,-0.31312408834318667,0.026264591439688716
H06,"H06|k=3;D=600|XT1800",XT1800,2305,L10,1908,18,-0.2918181513090282,-0.3772684456914339,0.05241090146750524,-0.3208547577230403,-0.268703706847437,-0.3038481441771734,-0.2987735302536813,0.020964360587002098
H06,"H06|k=3;D=600|XB",XB,2305,KILL,2276,18,-0.0827461644334754,-0.30244668921944184,0.2539543057996485,-0.10074767368534035,-0.05805001000939907,-0.08399273701068938,-0.0827471585849317,0
H06,"H06|k=3;D=600|XB",XB,2305,PRIMARY,2056,18,-0.12987886573912658,-0.29791449507877754,0.2140077821011673,-0.1469270210608628,-0.11224090367436823,-0.13216969180319393,-0.13065807823536515,0.00048638132295719845
H06,"H06|k=3;D=600|XB",XB,2305,NOINS,2056,18,-0.13353929031531153,-0.2998481552325428,0.21011673151750973,-0.15080867973095693,-0.11553625632472203,-0.1358237539083312,-0.13427110174356496,0.00048638132295719845
H06,"H06|k=3;D=600|XB",XB,2305,L10,1908,18,-0.1397350989194395,-0.26046434603048685,0.18238993710691823,-0.150950375880119,-0.12013138378226186,-0.14303860165583615,-0.14302255408069214,0.002620545073375262
H06,"H06|k=3;D=600|XR",XR,2305,KILL,2276,18,-0.08730201112181547,-0.21562761056663848,0.20035149384885764,-0.10745229923317474,-0.0642465967378237,-0.09538682020017307,-0.08729955540860454,0.014499121265377855
H06,"H06|k=3;D=600|XR",XR,2305,PRIMARY,2056,18,-0.16841701568450348,-0.2644781660733341,0.129863813229572,-0.1944243544015224,-0.1527485025683815,-0.17646203618401035,-0.16964441352645412,0.013132295719844358
H06,"H06|k=3;D=600|XR",XR,2305,NOINS,2056,18,-0.17043783811528795,-0.26683771664131806,0.12743190661478598,-0.19642165412858184,-0.15479200029924936,-0.1784855725191521,-0.17168407768762528,0.013132295719844358
H06,"H06|k=3;D=600|XR",XR,2305,L10,1908,18,-0.18274799203881897,-0.25501287924670646,0.11582809224318659,-0.2016391982422828,-0.16208662262948212,-0.19414502840170697,-0.18676377071512806,0.0110062893081761
H06,"H06|k=3;D=600|XG",XG,2305,KILL,2276,18,-0.18510277325073843,-0.30670570120889507,0.04481546572934974,-0.2090202101442851,-0.15747115804458361,-0.1954690161292909,-0.1850995449758598,0.0035149384885764497
H06,"H06|k=3;D=600|XG",XG,2305,PRIMARY,2056,18,-0.230595161725379,-0.3131785898118369,0.04036964980544747,-0.2551962781598483,-0.2128490656577573,-0.24119792617049501,-0.23189450782727855,0.007295719844357977
H06,"H06|k=3;D=600|XG",XG,2305,NOINS,2056,18,-0.23156031219337175,-0.31324363334627414,0.03939688715953307,-0.25653097502155353,-0.21343102913342774,-0.2421638106247977,-0.23282906758578703,0.007295719844357977
