hypothesis,variant_id,exit,n_signals,setting,n,days,mean,median,win,ci_lo,ci_hi,mean_no_top3,sol_weighted,via_pool_share
H01,"H01|V=10;N=60;T=300|XT60",XT60,5860,KILL,5789,7,-0.07175987342222138,-0.2778048455300731,0.3437553981689411,-0.09065163923968443,-0.05195113612351961,-0.07506815100727172,-0.07176307502269799,0.004664017965106236
H01,"H01|V=10;N=60;T=300|XT60",XT60,5860,PRIMARY,4976,7,-0.11197744737003586,-0.2628899143573762,0.3133038585209003,-0.12009476225050111,-0.10323755306015242,-0.11622694464760208,-0.11333867352485996,0.0018086816720257234
H01,"H01|V=10;N=60;T=300|XT60",XT60,5860,NOINS,4976,7,-0.11380485141711326,-0.26399613093961904,0.31109324758842444,-0.12192095047243642,-0.10507093457525318,-0.1180554510821014,-0.11516292202126346,0.0018086816720257234
H01,"H01|V=10;N=60;T=300|XT60",XT60,5860,L10,4517,7,-0.09960007577117069,-0.1349718214609909,0.27983174673455835,-0.10972492766102158,-0.08976881394647089,-0.10309884963542855,-0.1027912442134842,0.0019924728802302415
H01,"H01|V=10;N=60;T=300|XT300",XT300,5860,KILL,5789,7,-0.15581729601223507,-0.47114484851499927,0.20435308343409916,-0.1665526306163391,-0.14434168902506225,-0.15946377473403978,-0.15582845519412342,0.01468301951977889
H01,"H01|V=10;N=60;T=300|XT300",XT300,5860,PRIMARY,4976,7,-0.183958498561907,-0.4527501015076407,0.1885048231511254,-0.1979284895861964,-0.16992449762937673,-0.18899838985742198,-0.18572473222723965,0.008038585209003215
H01,"H01|V=10;N=60;T=300|XT300",XT300,5860,NOINS,4976,7,-0.1850685833772581,-0.4539199210459467,0.18790192926045016,-0.19902486064506422,-0.1710549065123598,-0.1901091443240697,-0.18680647710938703,0.008038585209003215
H01,"H01|V=10;N=60;T=300|XT300",XT300,5860,L10,4517,7,-0.1499502109807191,-0.33735372703811634,0.17688731458932921,-0.16632867792694217,-0.12977383950516908,-0.15623892838832681,-0.15921479399863966,0.006420190391853
H01,"H01|V=10;N=60;T=300|XT1800",XT1800,5860,KILL,5789,7,-0.23306751292879418,-0.48438970200487536,0.10019001554672655,-0.26218990326826713,-0.20959666650033829,-0.23677140503852284,-0.2330782558502924,0.03230264294351356
H01,"H01|V=10;N=60;T=300|XT1800",XT1800,5860,PRIMARY,4976,7,-0.25385388229718175,-0.47768049618265773,0.08902733118971061,-0.2781262650590862,-0.23163057599710393,-0.25893895802890976,-0.2584950500198021,0.024316720257234727
H01,"H01|V=10;N=60;T=300|XT1800",XT1800,5860,NOINS,4976,7,-0.254679735760009,-0.4786177587680366,0.08902733118971061,-0.27894145887045607,-0.23248259671125687,-0.25976530967624045,-0.2592809448681945,0.024316720257234727
H01,"H01|V=10;N=60;T=300|XT1800",XT1800,5860,L10,4517,7,-0.21144653086587056,-0.42749478483459324,0.08080584458711534,-0.2372963003430883,-0.18680546371623313,-0.21869362708057927,-0.22766310784656005,0.018375027673234446
H01,"H01|V=10;N=60;T=300|XB",XB,5860,KILL,5789,7,-0.0368928273645719,-0.3072052534699766,0.3453100708239765,-0.05382971630586394,-0.020322202990993816,-0.03764017017388413,-0.036891634506347644,0.0008637070305752289
H01,"H01|V=10;N=60;T=300|XB",XB,5860,PRIMARY,4976,7,-0.09606842841356673,-0.3191192154415642,0.30365755627009644,-0.10322636925737301,-0.0874410127547419,-0.09780830478896863,-0.09604720402358295,0.0010048231511254019
H01,"H01|V=10;N=60;T=300|XB",XB,5860,NOINS,4976,7,-0.09858279260243892,-0.32007575658519394,0.30144694533762056,-0.10595118558201165,-0.0894098615810831,-0.10032199215654887,-0.09857503903670652,0.0010048231511254019
H01,"H01|V=10;N=60;T=300|XB",XB,5860,L10,4517,7,-0.1011564878597306,-0.2577061584303804,0.25127296878459154,-0.11733723817885745,-0.08622180636568977,-0.1034171284274629,-0.10403506577901023,0.0013283152534868275
H01,"H01|V=10;N=60;T=300|XR",XR,5860,KILL,5789,7,-0.013324176302075856,-0.2358072135714641,0.2713767490067369,-0.03808278709672153,0.006357020586447827,-0.016898943291547498,-0.013317016431167804,0.011573674209708068
H01,"H01|V=10;N=60;T=300|XR",XR,5860,PRIMARY,4976,7,-0.1455845908595527,-0.3462269221961838,0.19071543408360128,-0.15703809116955747,-0.13244330296794105,-0.15060435231935143,-0.14702161825771604,0.009445337620578777
H01,"H01|V=10;N=60;T=300|XR",XR,5860,NOINS,4976,7,-0.14698605774819987,-0.34805250890040845,0.19031350482315113,-0.15863173899074381,-0.13377406324777186,-0.1520066646356685,-0.14839993565971915,0.009445337620578777
H01,"H01|V=10;N=60;T=300|XR",XR,5860,L10,4517,7,-0.14664939228150903,-0.29419448539721993,0.15740535753818907,-0.16197510005674573,-0.1312710976130422,-0.1531916912388341,-0.15373003415196612,0.008634049147664379
H01,"H01|V=10;N=60;T=300|XG",XG,5860,KILL,5789,7,-0.11370219737916279,-0.3159917118551316,0.07116945931939886,-0.13396872579471897,-0.09785812937550395,-0.11721758000117798,-0.11371095105150501,0.0048367593712212815
H01,"H01|V=10;N=60;T=300|XG",XG,5860,PRIMARY,4976,7,-0.20628522397554214,-0.3717565045426724,0.06571543408360128,-0.22901147570015612,-0.18421089393928072,-0.2112454966487277,-0.20875635653130573,0.007636655948553055
H01,"H01|V=10;N=60;T=300|XG",XG,5860,NOINS,4976,7,-0.2065925832625019,-0.3718194980251335,0.06571543408360128,-0.22940661513478988,-0.18422856302234614,-0.21155304132271713,-0.20898464278877366,0.007636655948553055
H01,"H01|V=10;N=60;T=300|XG",XG,5860,L10,4517,7,-0.18603958549981764,-0.33455905082088677,0.06685853442550366,-0.21761016267900965,-0.1593743247522545,-0.19308155846908537,-0.197619471470314,0.009519592649988931
H01,"H01|V=20;N=25;T=60|XT60",XT60,180,KILL,179,7,0.023537608389289522,-0.2437387194666932,0.39664804469273746,-0.07456621632305195,0.09938419811360982,-0.03841718965369006,0.023574002798081077,0.0111731843575419
H01,"H01|V=20;N=25;T=60|XT60",XT60,180,PRIMARY,149,7,-0.02997237970264687,-0.2519857180288237,0.3825503355704698,-0.17999510509216635,0.10664978766368724,-0.09187726512128153,-0.02149164328271432,0.006711409395973154
H01,"H01|V=20;N=25;T=60|XT60",XT60,180,NOINS,149,7,-0.030763960736932768,-0.252188629898458,0.3825503355704698,-0.18078338789004259,0.10583982190223289,-0.09264280411782083,-0.02228026672435469,0.006711409395973154
H01,"H01|V=20;N=25;T=60|XT60",XT60,180,L10,135,7,-0.019200824917070678,-0.10038446131410458,0.2962962962962963,-0.177128951470746,0.12267051174875025,-0.09963240647880073,-0.0437026520259656,0.007407407407407408
H01,"H01|V=20;N=25;T=60|XT300",XT300,180,KILL,179,7,-0.1595541003060877,-0.6587656832993384,0.2346368715083799,-0.29017532289527304,-0.0019400970722114872,-0.23105434139279266,-0.15959601383202343,0.05027932960893855
H01,"H01|V=20;N=25;T=60|XT300",XT300,180,PRIMARY,149,7,-0.1860753130778226,-0.6101168159800296,0.2348993288590604,-0.3330855164407568,-0.080461191927839,-0.27269740751743443,-0.1932080321631115,0.03355704697986577
H01,"H01|V=20;N=25;T=60|XT300",XT300,180,NOINS,149,7,-0.18640789319123122,-0.6106653829905583,0.2348993288590604,-0.3333990542566029,-0.08082459991255606,-0.2730364880687293,-0.19351176421339378,0.03355704697986577
H01,"H01|V=20;N=25;T=60|XT300",XT300,180,L10,135,7,-0.10094603812120656,-0.42992342633052416,0.2222222222222222,-0.24284281555747328,0.06020089213264447,-0.1910880622928379,-0.12683750627843082,0.02962962962962963
H01,"H01|V=20;N=25;T=60|XT1800",XT1800,180,KILL,179,7,-0.21916875368192273,-0.6668304661459629,0.16201117318435754,-0.3273012529758411,-0.07594095028717979,-0.2916851536329883,-0.2192432550546765,0.08379888268156424
H01,"H01|V=20;N=25;T=60|XT1800",XT1800,180,PRIMARY,149,7,-0.21633512586936343,-0.646972476871149,0.1476510067114094,-0.3817546165104908,-0.05808157173704791,-0.3362038321402082,-0.23176291248816597,0.0738255033557047
H01,"H01|V=20;N=25;T=60|XT1800",XT1800,180,NOINS,149,7,-0.21659425342865024,-0.6472957980724957,0.1476510067114094,-0.3820212558055193,-0.058319100674231544,-0.3364682830509691,-0.23198988959729033,0.0738255033557047
H01,"H01|V=20;N=25;T=60|XT1800",XT1800,180,L10,135,7,-0.16338541376286111,-0.5888690089998215,0.14074074074074075,-0.32247846287963317,0.043767397567471625,-0.27708183139372267,-0.20369977367455172,0.05925925925925926
H01,"H01|V=20;N=25;T=60|XB",XB,180,KILL,179,7,0.04061283345595206,-0.30328507039450775,0.48044692737430167,-0.016621721870729637,0.09812730909717331,0.0266837941091687,0.040630518812024244,0
H01,"H01|V=20;N=25;T=60|XB",XB,180,PRIMARY,149,7,0.03025356573245195,-0.1497422803242351,0.47651006711409394,-0.08130213289247935,0.13828304481590203,-0.005567758427055401,0.03739729228821724,0
H01,"H01|V=20;N=25;T=60|XB",XB,180,NOINS,149,7,0.029259477990735805,-0.15057054191829047,0.47651006711409394,-0.08171424283775626,0.1368117480339045,-0.0065470350720565895,0.036488759541286185,0
H01,"H01|V=20;N=25;T=60|XB",XB,180,L10,135,7,0.03169823442731351,-0.05739364627018043,0.4148148148148148,-0.12702961613122843,0.14853574428723168,-0.0024441144430859623,0.027814321210811496,0.007407407407407408
H01,"H01|V=20;N=25;T=60|XR",XR,180,KILL,179,7,-0.0007315216112980736,-0.244318083677429,0.3463687150837989,-0.07629087066022944,0.10990619540128103,-0.06553441002134036,-0.0007429248144222046,0.027932960893854747
H01,"H01|V=20;N=25;T=60|XR",XR,180,PRIMARY,149,7,-0.14881831794393277,-0.3226790859351479,0.28859060402684567,-0.2538672839923528,-0.04902658163921381,-0.2104628441690047,-0.13298727871555338,0.026845637583892617
H01,"H01|V=20;N=25;T=60|XR",XR,180,NOINS,149,7,-0.1494990681964665,-0.3241297358455427,0.28859060402684567,-0.2546324108799837,-0.04968864779954234,-0.2111575819868862,-0.13363916482184274,0.026845637583892617
